"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"TIM",149,100,"🔒","🔒","🔒","🔒",,
"Sainsbury",150,172,"🔒","🔒","🔒","🔒",,
"Kellogg's",151,142,"🔒","🔒","🔒","🔒",,
"ASDA",152,126,"🔒","🔒","🔒","🔒",,
"SMFG",153,"-","🔒","🔒","🔒","🔒",,
"Société Générale",154,138,"🔒","🔒","🔒","🔒",,
"Adidas",155,184,"🔒","🔒","🔒","🔒",,
"Eni",156,159,"🔒","🔒","🔒","🔒",,
"Caterpillar",157,101,"🔒","🔒","🔒","🔒",,
"Johnson & Johnson",158,151,"🔒","🔒","🔒","🔒",,
"Scotiabank",159,145,"🔒","🔒","🔒","🔒",,
"Mizuho",160,233,"🔒","🔒","🔒","🔒",,
"Prudential (UK)",161,168,"🔒","🔒","🔒","🔒",,
"Danone",162,131,"🔒","🔒","🔒","🔒",,
"QQ",163,232,"🔒","🔒","🔒","🔒",,
"O2",164,152,"🔒","🔒","🔒","🔒",,
"Enel",165,166,"🔒","🔒","🔒","🔒",,
"Ericsson",166,141,"🔒","🔒","🔒","🔒",,
"Vinci",167,182,"🔒","🔒","🔒","🔒",,
"Nordea",168,158,"🔒","🔒","🔒","🔒",,
"Cartier",169,253,"🔒","🔒","🔒","🔒",,
"Zara",170,150,"🔒","🔒","🔒","🔒",,
"Centurylink",171,218,"🔒","🔒","🔒","🔒",,
"Swiss Re",172,229,"🔒","🔒","🔒","🔒",,
"Paypal",173,332,"🔒","🔒","🔒","🔒",,
"Standard Chartered",174,146,"🔒","🔒","🔒","🔒",,
"Peugeot",175,154,"🔒","🔒","🔒","🔒",,
"Bank of Montreal",176,161,"🔒","🔒","🔒","🔒",,
"Audi",177,203,"🔒","🔒","🔒","🔒",,
"Bell",178,197,"🔒","🔒","🔒","🔒",,
"Banco do Brasil",179,92,"🔒","🔒","🔒","🔒",,
"Bank of Communications",180,183,"🔒","🔒","🔒","🔒",,
"Zurich",181,180,"🔒","🔒","🔒","🔒",,
"Hermes",182,249,"🔒","🔒","🔒","🔒",,
"Rabobank",183,133,"🔒","🔒","🔒","🔒",,
"Sprint",184,263,"🔒","🔒","🔒","🔒",,
"BHP Billiton",185,162,"🔒","🔒","🔒","🔒",,
"UniCredit",186,222,"🔒","🔒","🔒","🔒",,
"Telenor",187,147,"🔒","🔒","🔒","🔒",,
"AIG",188,193,"🔒","🔒","🔒","🔒",,
"Xbox",189,225,"🔒","🔒","🔒","🔒",,
"Medtronic",190,240,"🔒","🔒","🔒","🔒",,
"Chevrolet",191,171,"🔒","🔒","🔒","🔒",,
"Morrison",192,209,"🔒","🔒","🔒","🔒",,
"Avon",193,216,"🔒","🔒","🔒","🔒",,
"BASF",194,192,"🔒","🔒","🔒","🔒",,
"Coles",195,176,"🔒","🔒","🔒","🔒",,
"Mastercard",196,205,"🔒","🔒","🔒","🔒",,
"Cadbury",197,195,"🔒","🔒","🔒","🔒",,
"Union Pacific",198,178,"🔒","🔒","🔒","🔒",,
"EMC",199,213,"🔒","🔒","🔒","🔒",,
"Gucci",200,165,"🔒","🔒","🔒","🔒",,
"Red Bull",201,"-","🔒","🔒","🔒","🔒",,
"Pantene",202,175,"🔒","🔒","🔒","🔒",,
"Warner Bros.",203,200,"🔒","🔒","🔒","🔒",,
"Jardines",204,204,"🔒","🔒","🔒","🔒",,
"Nivea",205,179,"🔒","🔒","🔒","🔒",,
"Kroger",206,234,"🔒","🔒","🔒","🔒",,
"Glencore Xstrata",207,"-","🔒","🔒","🔒","🔒",,
"Alibaba",208,"-","🔒","🔒","🔒","🔒",,
"CBS",209,177,"🔒","🔒","🔒","🔒",,
"Aetna",210,262,"🔒","🔒","🔒","🔒",,
"Statoil",211,155,"🔒","🔒","🔒","🔒",,
"Thomson Reuters",212,210,"🔒","🔒","🔒","🔒",,
"ANZ",213,181,"🔒","🔒","🔒","🔒",,
"Dove",214,270,"🔒","🔒","🔒","🔒",,
"Heinz",215,186,"🔒","🔒","🔒","🔒",,
"Nescafé",216,226,"🔒","🔒","🔒","🔒",,
"ESPN",217,307,"🔒","🔒","🔒","🔒",,
"Mclane Company",218,194,"🔒","🔒","🔒","🔒",,
"Louis Vuitton",219,212,"🔒","🔒","🔒","🔒",,
"Conocophillips",220,"-","🔒","🔒","🔒","🔒",,
"Groupe Casino",221,235,"🔒","🔒","🔒","🔒",,
"Munich Re",222,198,"🔒","🔒","🔒","🔒",,
"Iberdrola",223,189,"🔒","🔒","🔒","🔒",,
"Aeon",224,174,"🔒","🔒","🔒","🔒",,
"Purina",225,221,"🔒","🔒","🔒","🔒",,
"Prudential (US)",226,266,"🔒","🔒","🔒","🔒",,
"Pampers",227,"-","🔒","🔒","🔒","🔒",,
"Bridgestone",228,252,"🔒","🔒","🔒","🔒",,
"Petrobras",229,148,"🔒","🔒","🔒","🔒",,
"Nordstrom",230,228,"🔒","🔒","🔒","🔒",,
"Nomura",231,336,"🔒","🔒","🔒","🔒",,
"U.S. Bank",232,160,"🔒","🔒","🔒","🔒",,
"Emirates",233,282,"🔒","🔒","🔒","🔒",,
"Commonwealth Bank",234,211,"🔒","🔒","🔒","🔒",,
"Royal Mail",235,"-","🔒","🔒","🔒","🔒",,
"E.Leclerc",236,"-","🔒","🔒","🔒","🔒",,
"Shinhan Financial Group",237,273,"🔒","🔒","🔒","🔒",,
"Unilever",238,245,"🔒","🔒","🔒","🔒",,
"China Merchants Bank",239,241,"🔒","🔒","🔒","🔒",,
"MTN",240,215,"🔒","🔒","🔒","🔒",,
"Kia Motors",241,208,"🔒","🔒","🔒","🔒",,
"EE",242,"-","🔒","🔒","🔒","🔒",,
"Aegon",243,322,"🔒","🔒","🔒","🔒",,
"Suzuki",244,251,"🔒","🔒","🔒","🔒",,
"Polo Ralph Lauren",245,306,"🔒","🔒","🔒","🔒",,
"Yahoo!",246,311,"🔒","🔒","🔒","🔒",,
"WellPoint",247,"-","🔒","🔒","🔒","🔒",,
"ABB",248,267,"🔒","🔒","🔒","🔒",,
"Publix",249,247,"🔒","🔒","🔒","🔒",,
"Esso",250,"-","🔒","🔒","🔒","🔒",,
"CNOOC",251,269,"🔒","🔒","🔒","🔒",,
"Bayer",252,287,"🔒","🔒","🔒","🔒",,
"Fiat",253,185,"🔒","🔒","🔒","🔒",,
"Randstad",254,217,"🔒","🔒","🔒","🔒",,
"Mobil",255,"-","🔒","🔒","🔒","🔒",,
"Bud Light",256,"-","🔒","🔒","🔒","🔒",,
"Swisscom",257,326,"🔒","🔒","🔒","🔒",,
"Johnson Controls",258,261,"🔒","🔒","🔒","🔒",,
"Baidu",259,374,"🔒","🔒","🔒","🔒",,
"Daimler",260,297,"🔒","🔒","🔒","🔒",,
"Heineken",261,272,"🔒","🔒","🔒","🔒",,
"BBC",262,290,"🔒","🔒","🔒","🔒",,
"Rolex",263,"-","🔒","🔒","🔒","🔒",,
"CIBC",264,231,"🔒","🔒","🔒","🔒",,
"Marks & Spencer",265,236,"🔒","🔒","🔒","🔒",,
"Prada",266,239,"🔒","🔒","🔒","🔒",,
"National Australia Bank",267,220,"🔒","🔒","🔒","🔒",,
"STC",268,368,"🔒","🔒","🔒","🔒",,
"Johnnie Walker",269,259,"🔒","🔒","🔒","🔒",,
"DZ Bank",270,317,"🔒","🔒","🔒","🔒",,
"CNP Assurances",271,278,"🔒","🔒","🔒","🔒",,
"KT",272,224,"🔒","🔒","🔒","🔒",,
"Westpac",273,279,"🔒","🔒","🔒","🔒",,
"Fujitsu",274,244,"🔒","🔒","🔒","🔒",,
"Allstate",275,321,"🔒","🔒","🔒","🔒",,
"Sharp",276,207,"🔒","🔒","🔒","🔒",,
"Uniqlo",277,327,"🔒","🔒","🔒","🔒",,
"General Motors",278,265,"🔒","🔒","🔒","🔒",,
"Garnier",279,478,"🔒","🔒","🔒","🔒",,
"Dish Network",280,256,"🔒","🔒","🔒","🔒",,
"Arcelormittal",281,308,"🔒","🔒","🔒","🔒",,
"Caixa",282,164,"🔒","🔒","🔒","🔒",,
"Rogers",283,243,"🔒","🔒","🔒","🔒",,
"Delta",284,371,"🔒","🔒","🔒","🔒",,
"Virgin Media",285,219,"🔒","🔒","🔒","🔒",,
"MTV",286,268,"🔒","🔒","🔒","🔒",,
"Saint-Gobain",287,188,"🔒","🔒","🔒","🔒",,
"Michelin",288,260,"🔒","🔒","🔒","🔒",,
"British Gas",289,351,"🔒","🔒","🔒","🔒",,
"7-Eleven",290,246,"🔒","🔒","🔒","🔒",,
"Aviva",291,254,"🔒","🔒","🔒","🔒",,
"BNY Mellon",292,277,"🔒","🔒","🔒","🔒",,
"Estée Lauder",293,300,"🔒","🔒","🔒","🔒",,
"Playstation",294,319,"🔒","🔒","🔒","🔒",,
"Rio Tinto",295,276,"🔒","🔒","🔒","🔒",,
"Dai-Ichi Life",296,433,"🔒","🔒","🔒","🔒",,
"Metro",297,295,"🔒","🔒","🔒","🔒",,
"SK Telecom",298,339,"🔒","🔒","🔒","🔒",,
"SFR",299,227,"🔒","🔒","🔒","🔒",,
"Chow Tai Fook",300,"-","🔒","🔒","🔒","🔒",,
"RWE",301,257,"🔒","🔒","🔒","🔒",,
